Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
41,T1546.009,3,CM-7|SI-10|SI-7
41,T1546.010,5,CM-2|SI-2|SI-7|CM-7|SI-10
41,T1546.011,2,AC-6|SI-2
41,T1546.013,9,SI-3|AC-6|CM-2|CM-6|SI-7|CA-7|CM-10|AC-3|SI-4
41,T1546.014,6,SI-3|CM-8|CM-2|RA-5|CM-6|SI-4
42,T1555,3,IA-5|CA-7|SI-4
42,T1555.001,3,IA-5|CA-7|SI-4
42,T1555.002,3,IA-5|CA-7|SI-4
42,T1555.004,5,CM-2|CM-6|CM-7|IA-5|SI-4
42,T1555.005,6,CM-2|SI-2|CM-6|IA-2|IA-5|SI-4
43,T1530,30,IA-4|AC-2|CM-6|SI-7|SC-28|IA-6|AC-3|SI-4|AC-6|CM-8|CM-2|SC-7|IA-2|AC-17|AC-4|AC-20|SI-12|AC-5|AC-7|IA-3|CM-5|CM-7|SI-10|SC-4|AC-19|RA-5|AC-18|CA-7|IA-5|IA-8
44,T1048,17,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
44,T1048.001,10,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
44,T1048.002,17,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
44,T1048.003,18,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|SC-13|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
45,T1102,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.001,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.002,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.003,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
46,T1133,16,AC-6|AC-20|CM-2|CM-8|RA-5|AC-7|CM-6|SI-7|CM-7|SC-7|IA-2|AC-3|IA-5|AC-17|SI-4|AC-4
47,T1558,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.001,9,AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3|IA-5
47,T1558.002,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.003,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.004,18,SI-3|SI-12|AC-19|CM-2|RA-5|AC-2|CM-6|AC-18|SA-15|SI-4|SI-7|CA-7|IA-2|AC-3|IA-5|AC-17|SA-11|SC-4
48,T1528,17,AC-6|SA-11|CM-2|IA-4|AC-5|RA-5|AC-2|CM-6|SA-15|CM-5|CA-7|IA-2|AC-3|IA-5|IA-8|SI-4|AC-4
49,T1490,12,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|CM-6|SI-7|CP-2|CM-7|AC-3|SI-4
50,T1189,15,SI-3|AC-6|SC-39|CM-8|CM-2|SA-22|SC-2|SI-2|CM-6|SI-7|SC-18|SC-7|CA-7|SI-4|AC-4
51,T1571,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
52,T1213,21,IA-4|AC-2|CM-6|SI-7|SC-28|AC-3|SI-4|AC-6|CM-8|CM-2|IA-2|AC-17|AC-4|AC-5|CM-5|CM-7|CM-3|RA-5|CA-7|AC-21|IA-8
52,T1213.001,21,IA-4|AC-2|CM-6|SI-7|SC-28|AC-3|SI-4|AC-6|CM-8|CM-2|IA-2|AC-17|AC-4|AC-5|CM-5|CM-7|CM-3|RA-5|CA-7|AC-21|IA-8
52,T1213.002,21,IA-4|AC-2|CM-6|SI-7|SC-28|AC-3|SI-4|AC-6|CM-8|CM-2|IA-2|AC-17|AC-4|AC-5|CM-5|CM-7|CM-3|RA-5|CA-7|AC-21|IA-8
52,T1213.003,13,AC-6|SA-3|SA-8|AC-5|RA-5|AC-2|SI-2|SA-15|CA-7|SA-10|IA-2|AC-3|SA-11
53,T1563,17,AC-6|CM-8|CM-2|IA-4|AC-5|RA-5|AC-2|CM-6|SI-4|CM-5|CM-7|SC-7|IA-2|AC-3|AC-17|IA-6|AC-4
53,T1563.001,17,AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-4|CM-5|CM-7|CA-7|SC-23|IA-2|AC-3|IA-5|AC-17|SC-12
53,T1563.002,17,AC-11|AC-6|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|SC-7|AC-12|IA-2|AC-3|AC-17|SI-4|AC-4
54,T1482,6,SA-8|RA-5|CM-6|CM-7|SC-7|AC-4
55,T1489,12,AC-6|AC-5|AC-2|CM-6|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|SI-4|AC-4
56,T1539,10,SI-3|AC-6|AC-20|CM-2|CM-6|CA-7|IA-2|AC-3|IA-5|SI-4
57,T1505,18,AC-6|CM-8|CM-2|AC-5|SR-11|RA-5|AC-2|SR-5|CM-6|SI-4|SI-7|SR-6|CM-5|SA-10|IA-2|AC-3|SA-11|CM-11
57,T1505.001,11,CM-8|CM-2|SR-11|RA-5|SR-5|CM-6|SI-7|SR-6|SA-10|SA-11|CM-11
57,T1505.002,18,AC-6|CM-8|CM-2|AC-5|SR-11|RA-5|AC-2|SR-5|CM-6|SI-4|SI-7|SR-6|CM-5|SA-10|IA-2|AC-3|SA-11|CM-11
57,T1505.003,8,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|AC-3|SI-4
57,T1505.004,21,SR-5|CM-6|SI-7|AC-3|SI-4|SI-16|AC-6|CM-8|CM-2|SR-11|SR-6|SC-7|IA-2|AC-17|AC-4|SI-3|CM-7|SA-10|SA-11|CM-11|RA-5
58,T1556,16,AC-6|SC-39|AC-20|CM-2|AC-5|AC-2|AC-7|CM-6|SI-7|CM-5|CM-7|CA-7|IA-2|AC-3|IA-5|SI-4
58,T1556.001,14,AC-6|SC-39|AC-20|AC-5|AC-2|AC-7|CM-6|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
58,T1556.002,3,CM-7|CM-6|SI-4
58,T1556.003,12,AC-6|AC-20|AC-5|AC-2|AC-7|CM-6|SI-7|CM-5|IA-2|AC-3|IA-5|SI-4
58,T1556.004,13,AC-6|AC-20|CM-2|AC-5|AC-2|AC-7|CM-6|SI-7|CM-5|IA-2|AC-3|IA-5|SI-4
59,T1537,18,AC-6|AC-20|IA-4|AC-5|AC-2|CM-6|IA-3|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|SI-10|AC-17|IA-8|SI-4|AC-4
60,T1566,10,SI-3|CM-2|SI-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
60,T1566.001,10,SI-3|CM-2|SI-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
60,T1566.002,9,SI-3|CM-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
60,T1566.003,7,SI-3|SI-2|SC-7|CA-7|SI-8|SI-4|AC-4
61,T1542,17,AC-6|SA-11|CM-3|CM-8|AC-5|IA-7|AC-2|SI-2|CM-6|SI-7|CM-5|SC-7|SA-10|RA-9|IA-2|AC-3|IA-8
61,T1542.001,16,AC-6|SA-11|CM-3|CM-8|AC-5|IA-7|AC-2|SI-2|CM-6|SI-7|CM-5|SA-10|RA-9|IA-2|AC-3|IA-8
61,T1542.003,16,AC-6|SA-11|CM-3|CM-8|AC-5|IA-7|AC-2|SI-2|CM-6|SI-7|CM-5|SA-10|RA-9|IA-2|AC-3|IA-8
61,T1542.004,18,AC-6|CM-3|CM-8|CM-2|IA-7|RA-5|SI-2|CM-6|SI-7|CM-5|CM-7|CA-7|SA-10|SC-7|RA-9|AC-3|SA-11|SI-4
61,T1542.005,22,AC-2|CM-6|SI-7|RA-9|AC-3|SI-4|AC-6|CM-8|CM-2|IA-7|SC-7|IA-2|AC-5|CM-5|CM-7|SA-10|SA-11|CM-3|RA-5|SI-2|CA-7|IA-8
62,T1572,10,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
63,T1553,16,AC-6|CM-3|CM-8|CM-2|IA-7|SI-2|CM-6|SI-7|CM-5|CM-7|CM-10|SA-10|RA-9|SA-11|SI-10|SI-4
63,T1553.001,6,CM-2|CM-6|SI-7|CM-7|SI-10|SI-4
63,T1553.003,10,SI-3|AC-6|CM-2|CM-6|SI-7|CM-7|CA-7|AC-3|SI-10|SI-4
63,T1553.004,5,CM-6|SC-20|CM-7|CM-10|SI-4
63,T1553.005,6,CM-2|CM-6|SI-7|CM-7|SI-10|SI-4
63,T1553.006,11,AC-6|CM-3|CM-8|IA-7|SI-2|SI-7|CM-5|CM-7|SA-10|RA-9|SA-11
64,T1046,10,SI-3|CM-8|CM-2|RA-5|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
65,T1565,22,CP-10|CM-6|SI-7|SC-28|CP-6|AC-3|SI-4|SI-16|CM-8|CM-2|CP-9|SC-7|AC-17|AC-4|AC-20|SI-12|CM-7|SC-4|AC-19|CP-7|AC-18|CA-7
65,T1565.001,20,CP-10|CM-6|SI-7|SC-28|CP-6|AC-3|SI-4|SI-16|CM-8|CM-2|CP-9|SC-7|AC-17|AC-20|SI-12|SC-4|AC-19|CP-7|AC-18|CA-7
65,T1565.002,11,AC-20|AC-19|CM-2|CM-8|SI-12|CM-6|AC-18|SI-4|SI-7|AC-17|SC-4
65,T1565.003,11,SI-16|CP-9|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SC-4|AC-4
66,T1080,10,SI-3|CM-2|SI-4|SI-7|CM-7|SC-7|CA-7|AC-3|SI-10|SC-4
67,T1601,23,AC-2|SR-5|CM-6|SI-7|RA-9|AC-3|SI-4|AC-6|CM-8|CM-2|IA-7|SR-11|SR-6|IA-2|AC-4|AC-5|CM-5|CM-7|SA-10|SA-11|CM-3|SI-2|IA-5
67,T1601.001,23,AC-2|SR-5|CM-6|SI-7|RA-9|AC-3|SI-4|AC-6|CM-8|CM-2|IA-7|SR-11|SR-6|IA-2|AC-4|AC-5|CM-5|CM-7|SA-10|SA-11|CM-3|SI-2|IA-5
67,T1601.002,23,AC-2|SR-5|CM-6|SI-7|RA-9|AC-3|SI-4|AC-6|CM-8|CM-2|IA-7|SR-11|SR-6|IA-2|AC-4|AC-5|CM-5|CM-7|SA-10|SA-11|CM-3|SI-2|IA-5
68,T1134,7,AC-6|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3
68,T1134.001,7,AC-6|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3
68,T1134.002,7,AC-6|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3
68,T1134.003,7,AC-6|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3
68,T1134.005,10,AC-6|AC-20|CM-2|SA-8|AC-5|SA-4|CM-6|AC-3|SA-11|AC-4
69,T1091,9,SI-3|AC-6|CM-8|CM-2|RA-5|CM-6|AC-3|MP-7|SI-4
70,T1137,11,SI-3|AC-6|CM-8|CM-2|RA-5|SI-2|CM-6|SC-18|AC-17|SI-8|SI-4
70,T1137.001,9,SI-3|AC-6|CM-8|CM-2|RA-5|CM-6|SC-18|SI-8|SI-4
70,T1137.002,8,AC-6|CM-2|CM-6|SC-18|CM-5|AC-17|SI-8|AC-14
70,T1137.003,6,AC-6|CM-2|SI-2|CM-6|SC-18|SI-8
70,T1137.004,6,AC-6|CM-2|SI-2|CM-6|SC-18|SI-8
70,T1137.005,6,AC-6|CM-2|SI-2|CM-6|SC-18|SI-8
70,T1137.006,5,AC-6|CM-2|CM-6|SC-18|SI-8
71,T1211,16,SI-3|AC-6|SC-39|CM-8|CM-2|SC-2|RA-5|SI-2|CM-6|SI-5|SI-7|SC-18|SC-7|CA-7|SI-4|AC-4
72,T1040,10,SI-12|AC-19|AC-18|SI-4|SI-7|IA-2|IA-5|AC-17|SC-4|SC-8
73,T1212,17,SI-3|AC-6|SC-39|CM-8|CM-2|SC-2|RA-5|AC-2|SI-2|CM-6|SI-5|SI-7|SC-18|SC-7|CA-7|SI-4|AC-4
74,T1005,10,SI-3|AC-6|CP-9|SA-8|SC-13|AC-2|SC-28|CM-12|SI-4|AC-3
75,T1602,22,IA-4|CM-6|SI-7|SC-28|AC-3|SI-4|SC-8|CM-8|CM-2|SC-7|AC-17|AC-4|SI-3|AC-20|SI-12|IA-3|CM-7|SI-10|SC-4|AC-19|AC-18|CA-7
75,T1602.001,22,IA-4|CM-6|SI-7|SC-28|AC-3|SI-4|SC-8|CM-8|CM-2|SC-7|AC-17|AC-4|SI-3|AC-20|SI-12|IA-3|CM-7|SI-10|SC-4|AC-19|AC-18|CA-7
75,T1602.002,22,IA-4|CM-6|SI-7|SC-28|AC-3|SI-4|SC-8|CM-8|CM-2|SC-7|AC-17|AC-4|SI-3|AC-20|SI-12|IA-3|CM-7|SI-10|SC-4|AC-19|AC-18|CA-7
76,T1599,17,AC-6|CM-2|AC-5|AC-2|CM-6|SI-4|SI-7|SC-28|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|IA-5|SI-10|AC-4
76,T1599.001,17,AC-6|CM-2|AC-5|AC-2|CM-6|SI-4|SI-7|SC-28|CM-5|CM-7|CA-7|SC-7|IA-2|AC-3|IA-5|SI-10|AC-4
77,T1114,13,AC-20|AC-19|CM-2|SI-12|CM-6|SI-7|SC-7|IA-2|AC-3|IA-5|AC-17|SI-4|AC-4
77,T1114.001,7,SI-12|AC-20|AC-19|SI-7|AC-17|SI-4|AC-4
77,T1114.002,12,AC-20|AC-19|CM-2|SI-12|CM-6|SI-7|IA-2|AC-3|IA-5|AC-17|SI-4|AC-4
77,T1114.003,9,AC-20|AC-19|SI-12|CM-6|SI-7|SC-7|AC-17|SI-4|AC-4
78,T1052,15,SI-3|AC-6|AC-20|CM-2|CM-8|SA-8|RA-5|AC-2|CM-6|SC-28|CM-7|CA-7|AC-3|MP-7|SI-4
78,T1052.001,15,SI-3|AC-6|AC-20|CM-2|CM-8|SA-8|RA-5|AC-2|CM-6|SC-28|CM-7|CA-7|AC-3|MP-7|SI-4
79,T1221,13,SI-3|CM-8|CM-2|RA-5|SI-2|CM-6|SI-7|CM-7|SC-7|CA-7|SI-10|SI-8|SI-4
80,T1195,7,SA-22|RA-5|SI-2|CM-7|CA-7|CA-2|CM-11
80,T1195.001,7,SA-22|RA-5|SI-2|CM-7|CA-7|CA-2|CM-11
80,T1195.002,7,SA-22|RA-5|SI-2|CM-7|CA-7|CA-2|CM-11
80,T1195.003,9,CM-3|CM-8|IA-7|SI-2|SI-7|CM-5|SA-10|RA-9|SA-11
81,T1037,9,SI-3|CM-2|CM-6|SI-7|CM-7|CA-7|AC-3|AC-17|SI-4
81,T1037.001,2,CM-7|AC-17
81,T1037.002,7,SI-3|CM-2|CM-6|SI-7|CA-7|AC-3|SI-4
81,T1037.003,7,SI-3|CM-2|CM-6|SI-7|CA-7|AC-3|SI-4
81,T1037.004,7,SI-3|CM-2|CM-6|SI-7|CA-7|AC-3|SI-4
81,T1037.005,7,SI-3|CM-2|CM-6|SI-7|CA-7|AC-3|SI-4
82,T1176,14,SI-3|AC-6|CM-3|CM-2|RA-5|CM-6|SI-4|SI-7|CM-5|CM-7|CA-7|SC-7|SI-10|CM-11
83,T1495,15,AC-6|CM-3|CM-8|AC-5|IA-7|AC-2|SI-2|CM-6|SI-7|CM-5|SA-10|RA-9|IA-2|AC-3|SA-11
84,T1550,7,AC-6|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3
84,T1550.001,14,AC-20|AC-19|CM-2|IA-4|SI-12|CM-6|SI-4|SI-7|SC-28|CM-10|IA-2|AC-17|CM-11|SC-8
84,T1550.002,8,AC-6|AC-5|AC-2|SI-2|CM-6|CM-5|IA-2|AC-3
84,T1550.003,11,AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
84,T1550.004,3,SC-23|SI-7|SC-8
85,T1087,3,CM-7|CM-6|SI-4
85,T1087.001,3,CM-7|CM-6|SI-4
85,T1087.002,3,CM-7|CM-6|SI-4
85,T1087.004,6,AC-6|AC-5|AC-2|IA-2|AC-3|IA-8
86,T1127,8,CM-8|CM-2|RA-5|CM-6|SI-7|CM-7|SI-10|SI-4
86,T1127.001,5,CM-8|CM-2|RA-5|CM-6|SI-4
87,T1606,6,AC-6|AC-5|AC-2|SI-2|AC-3|SC-17
87,T1606.001,4,AC-6|AC-3|AC-2|SI-2
87,T1606.002,3,AC-6|AC-3|AC-2
88,T1187,9,CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
89,T1525,14,SI-3|AC-6|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SI-7|CM-5|CM-7|IA-2|AC-3|SI-4
90,T1111,7,SI-3|CM-2|CM-6|CA-7|IA-2|IA-5|SI-4
91,T1119,14,AC-20|AC-19|CM-2|CM-8|CP-9|SI-12|CP-7|CM-6|AC-18|SI-4|SI-7|CP-6|AC-17|SC-4
92,T1132,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
92,T1132.001,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
92,T1132.002,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
93,T1220,6,CM-2|CM-6|SI-7|CM-7|SI-10|SI-4
94,T1041,14,SI-3|AC-6|AC-20|CA-3|SA-8|SC-13|AC-2|SC-28|SC-7|CA-7|AC-3|SA-9|SI-4|AC-4
95,T1185,13,SI-3|AC-6|CM-2|AC-5|AC-2|SI-7|CM-5|SC-23|CA-7|AC-12|IA-2|AC-3|SI-4
96,T1199,7,AC-8|AC-6|CM-6|CM-7|SC-7|AC-3|AC-4
97,T1567,13,SI-3|AC-6|AC-20|CA-3|SA-8|AC-2|SC-28|SC-7|CA-7|AC-3|SA-9|SI-4|AC-4
97,T1567.001,3,SC-7|AC-20|AC-4
97,T1567.002,3,SC-7|AC-20|AC-4
98,T1104,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
99,T1001,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
99,T1001.001,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
99,T1001.002,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
99,T1001.003,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
100,T1573,10,SI-3|CM-2|CM-6|SI-4|CM-7|SC-23|CA-7|SC-7|SC-12|AC-4
100,T1573.001,10,SI-3|CM-2|CM-6|SI-4|CM-7|SC-23|CA-7|SC-7|SC-12|AC-4
100,T1573.002,10,SI-3|CM-2|CM-6|SI-4|CM-7|SC-23|CA-7|SC-7|SC-12|AC-4
101,T1025,11,SI-3|AC-6|CP-9|SA-8|SC-13|AC-2|SC-28|CM-12|MP-7|SI-4|AC-3
102,T1578,10,AC-6|IA-4|AC-5|RA-5|AC-2|SI-4|CM-5|IA-2|AC-3|IA-6
102,T1578.001,10,AC-6|IA-4|AC-5|RA-5|AC-2|SI-4|CM-5|IA-2|AC-3|IA-6
102,T1578.002,10,AC-6|IA-4|AC-5|RA-5|AC-2|SI-4|CM-5|IA-2|AC-3|IA-6
102,T1578.003,10,AC-6|IA-4|AC-5|RA-5|AC-2|SI-4|CM-5|IA-2|AC-3|IA-6
103,T1554,6,CM-2|SR-11|SR-5|CM-6|SI-7|SR-6
104,T1568,8,SI-3|SC-21|SC-22|SC-20|SC-7|CA-7|SI-4|AC-4
104,T1568.002,8,SI-3|SC-21|SC-22|SC-20|SC-7|CA-7|SI-4|AC-4
105,T1486,11,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|CP-6|SI-7|CP-2|AC-3|SI-4
106,T1538,6,AC-6|AC-5|AC-2|IA-2|AC-3|IA-8
107,T1205,8,CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-4|AC-4
107,T1205.001,7,CM-6|CM-7|SC-7|CA-7|AC-3|SI-4|AC-4
108,T1200,4,AC-6|AC-3|MP-7|AC-20
109,T1485,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
110,T1092,8,SI-3|CM-8|CM-2|RA-5|CM-6|CM-7|MP-7|SI-4
111,T1135,3,CM-7|CM-6|SI-4
112,T1491,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
112,T1491.001,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
112,T1491.002,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
113,T1216,6,CM-2|CM-6|SI-7|CM-7|SI-10|SI-4
113,T1216.001,6,CM-2|CM-6|SI-7|CM-7|SI-10|SI-4
114,T1561,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
114,T1561.001,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
114,T1561.002,10,SI-3|AC-6|CP-9|CM-2|CP-10|CP-7|SI-7|CP-2|AC-3|SI-4
115,T1580,5,AC-6|AC-5|AC-2|IA-2|AC-3
116,T1499,8,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
116,T1499.001,8,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
116,T1499.002,8,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
116,T1499.003,8,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
116,T1499.004,8,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
117,T1201,5,SI-3|CM-2|CM-6|CA-7|SI-4
118,T1008,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
119,T1011,4,CM-7|CM-6|SI-4|AC-18
119,T1011.001,8,SI-3|CM-8|CM-2|RA-5|CM-6|AC-18|CM-7|SI-4
120,T1498,7,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|AC-4
120,T1498.001,7,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|AC-4
120,T1498.002,7,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|AC-4
121,T1030,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
122,T1029,7,SI-3|CM-2|CM-6|SC-7|CA-7|SI-4|AC-4
123,T1535,1,SC-23
124,T1598,9,SI-3|CM-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
124,T1598.001,6,SI-3|SC-7|CA-7|SI-8|SI-4|AC-4
124,T1598.002,9,SI-3|CM-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
124,T1598.003,9,SI-3|CM-2|CM-6|SC-20|SC-7|CA-7|SI-8|SI-4|AC-4
125,T1129,5,CM-2|SI-7|CM-7|SI-10|SI-4
126,T1610,9,AC-6|AC-2|CM-6|CM-7|SC-7|IA-2|AC-3|AC-17|SI-4
127,T1619,7,AC-6|AC-5|AC-2|CM-5|IA-2|AC-3|AC-17
128,T1609,9,AC-6|AC-2|CM-6|SI-7|CM-7|SC-7|AC-3|SI-10|AC-17
129,T1611,18,SI-16|AC-6|SI-3|SC-39|SC-2|AC-5|AC-2|SI-2|CM-6|SI-7|SC-18|CM-5|CM-7|SC-7|IA-2|AC-3|SI-4|AC-4
130,T1613,9,AC-6|AC-2|CM-6|CM-7|SC-7|IA-2|AC-3|AC-17|SI-4
